[2024-10-29T16:13:57.376] [INFO] sq; - Hello World
[2024-10-29T16:16:18.772] [INFO] sq; - Hello World
[2024-10-29T16:17:12.933] [INFO] sq; - Hello World
[2024-10-29T16:17:48.182] [INFO] sq; - Hello World
2024-10-29 16:18:10 INFO sq;: Hello World

2024-10-29 16:18:50 INFO sq;: Hello World

[2024-10-29 16:19:15] [INFO] sq;: Hello World

[2024-10-29 16:19:16] [INFO] sq;: Hello World

 sq; [2024-10-29 16:19:52] [INFO] Hello World

sq; [2024-10-29 16:19:54] [INFO] Hello World

sq; [2024-10-29 16:21:01] [INFO] Hello World

sq; [2024-10-29 16:21:11] [INFO] Hello World

sq; [2024-10-29 16:21:17] [INFO] Hello World

